id,label,smi
99474,1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1
441893,1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)O)C)C)C)OC1
442088,1,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3
11629084,1,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=C3C(C(OC3=C(C=C2)O)C4=CC(=C(C=C4)O)O)C(=O)OC(CC5=CC(=C(C=C5)O)O)C(=O)O)O)O
441923,1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C
441934,1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(CO6)O)O)O)C)O)C)OC7C(C(C(C(O7)CO)O)O)O)C
91466,1,C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1
159278,1,C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
53486204,1,CC=CC#CC#CC(C(C=CCCCO)OC1C(C(C(C(O1)CO)O)O)O)O
114850,1,C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-]
24721085,1,C1CC2CN3C(CC=CC3=O)C4C2[N+](C1)(CCC4)[O-]
64982,1,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
5281807,1,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
736186,1,COC1=C(C=C(C=C1)C=CC(=O)O)O
8768,1,C1=CC(=C(C=C1C=O)O)O
46173859,1,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(C(CC(C6)O)OC7C(C(C(C(O7)C)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1
9852086,1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C
167928,1,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O
5938,1,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
t_neg_2,1,OC[C@@H]1CC[C@H](n2cnc3c(O)ncnc32)O1
t_neg_5,1,CN/C(=C\[N+](=O)[O-])NCCS[CH2+]c1ccc(CN(C)C)o1
